erownames,Level1,Level2,vl,vu,spendShare,support,CVXOPT-svl-svu-betas,CVXOPT-svl-svu-decomp,CVXOPT-vl-vu-betas,CVXOPT-vl-vu-decomp,CVXOPT-with-old-betas-svl-svu-betas,CVXOPT-with-old-betas-svl-svu-decomp,CVXOPT-new-algo2-svl-svu-NO-RSSD-betas,CVXOPT-new-algo2-svl-svu-NO-RSSD-decomp,CVXOPT-new-algo2-svl-svu-WITH-RSSD-betas,CVXOPT-new-algo2-svl-svu-WITH-RSSD-decomp,orig-mbeta,orig-decomp
rsq,X,X,0,0,0,0,0.973414498,,0.973414498,,0.937804246,,0.944694988,,0.795484282,,0,
mape,X,X,-1,0,0,0,0.084362656,,0.084362656,,0.141158171,,0.115397489,,0.315398002,,0.68356502,
nrmse,X,X,-1,0,0,0,0.777542995,,0.777542995,,1.189275168,,1.121461137,,2.156578772,,5.101184148,
rssd,X,X,-1,0,0,0,1.500603642,,1.500603642,,0.743845534,,0.181096008,,0.501150434,,nan,
intercept,Base,Base,0,0,0,0,192.3924578,7.923497904,192.3924578,7.923497904,203.1460868,8.366375748,437.0628105,18.00001051,1201.184237,49.46961484,2451.749451,100
TikTok_Install,Media,Install,0,100000000,0.838593995,26.98158627,781.0188488,2.132374543,781.0188488,2.132374543,13.41474229,0.036625563,14.82084331,0.040464566,14.81867054,0.040458634,0,0
TikTok_AEO,Media,AEO,0,100000000,3.394706485,24.93123297,541.6375089,1.366428729,541.6375089,1.366428729,145.3553826,0.366698701,262.3655337,0.661888803,41.5551432,0.104834212,0,0
Google_UAC_Install,Media,Install,0,100000000,0.467799245,17.17116675,13.04174839,0.022660533,13.04174839,0.022660533,12.81058524,0.022258878,16.67833137,0.028979234,16.67601984,0.028975217,0,0
Google_UAC_AEO,Media,AEO,0,100000000,84.89771717,205.5498226,156.2881018,3.250704691,156.2881018,3.250704691,252.5133697,5.25213619,222.5351195,4.628605433,50.11028773,1.042265825,0,0
Unity_Install,Media,Install,0,100000000,36.80964911,202.637058,291.1113834,5.969150858,291.1113834,5.969150858,154.9104442,3.176391798,136.5435512,2.799784213,30.74679762,0.630453784,0,0
Unity_ROAS,Media,ROAS,0,100000000,112.2993046,211.1283814,275.8234919,5.892673331,275.8234919,5.892673331,267.3080104,5.710749192,250.6716268,5.355330685,68.25584886,1.458213067,0,0
IronSource_Install,Media,Install,0,100000000,20.27352757,154.6043588,782.5764852,12.24286395,782.5764852,12.24286395,130.1679985,2.036387659,130.7245517,2.045094545,24.57199477,0.384411741,0,0
Vungle_Roas,Media,Roas,0,100000000,28.78153549,81.24391256,325.058503,2.67231012,325.058503,2.67231012,257.2823465,2.115121469,298.8801771,2.457097767,56.17967552,0.461853833,0,0
Vungle_Other,Media,Other,0,100000000,1.703824246,19.78436156,0.000789266,1.58E-06,0.000789266,1.58E-06,25.64061553,0.051331621,29.78231631,0.059623162,29.77775595,0.059614033,0,0
Applovin_AEO,Media,AEO,0,100000000,104.3141061,78.49634488,3.424113736,0.027197696,3.424113736,0.027197696,566.8093774,4.502160327,649.3651168,5.15789961,146.2233882,1.161450681,0,0
Applovin_Install,Media,Install,0,100000000,7.374785858,44.2276301,425.7717268,1.905482581,425.7717268,1.905482581,123.435139,0.552416923,234.5963236,1.049903458,37.15702365,0.166291129,0,0
Applovin_Roas,Media,Roas,0,100000000,192.1791539,67.53293312,1328.996812,9.081844196,1328.996812,9.081844196,901.2494675,6.158786216,1205.021002,8.234642021,284.3091397,1.942857415,0,0
Chart_Boost_Roas,Media,Roas,0,100000000,2.743603573,42.68411299,0.035893645,0.000155031,0.035893645,0.000155031,15.3485772,0.066293184,17.96982516,0.077614812,17.96656936,0.077600749,0,0
