,date,y,y_pred
0,2021-01-01,187,463.6334574558345
1,2021-01-02,224,463.6334574558345
2,2021-01-03,225,468.6973086199548
3,2021-01-04,235,468.6973086199548
4,2021-01-05,215,468.6973086199548
5,2021-01-06,177,470.03818541010696
6,2021-01-07,186,466.1043118337984
7,2021-01-08,202,468.6973086199548
8,2021-01-09,153,477.1483714844848
9,2021-01-10,194,461.29320396320577
10,2021-01-11,151,457.0286034183729
11,2021-01-12,150,457.0286034183729
12,2021-01-13,193,456.05359814016356
13,2021-01-14,169,458.0408151795598
14,2021-01-15,153,458.0408151795598
15,2021-01-16,141,462.446664991176
16,2021-01-17,242,466.1037340536634
17,2021-01-18,591,538.7438080351503
18,2021-01-19,552,547.4728175187997
19,2021-01-20,491,552.4374257095851
20,2021-01-21,562,537.6524265623885
21,2021-01-22,530,539.171731592428
22,2021-01-23,624,541.1023859249643
23,2021-01-24,612,538.7432302550153
24,2021-01-25,538,526.8017105027234
25,2021-01-26,554,541.8521530763481
26,2021-01-27,580,545.6564699748338
27,2021-01-28,547,542.4328548905643
28,2021-01-29,555,541.3745345869671
29,2021-01-30,580,544.5603437368634
30,2021-01-31,593,540.266111167888
31,2021-02-01,556,541.8481256249823
32,2021-02-02,584,557.9463669474915
33,2021-02-03,608,547.5685836546515
34,2021-02-04,599,548.4431855966712
35,2021-02-05,560,555.0951670000583
36,2021-02-06,618,542.0733317829709
37,2021-02-07,661,548.961356987685
38,2021-02-08,637,558.5092632575227
39,2021-02-09,574,556.794971777894
40,2021-02-10,530,555.3647106577226
41,2021-02-11,501,560.9813439586461
42,2021-02-12,565,552.6940861904797
43,2021-02-13,511,564.6791357219665
44,2021-02-14,567,568.5801993241187
45,2021-02-15,645,563.1242185157586
46,2021-02-16,587,575.8983271920665
47,2021-02-17,506,592.0890133777941
48,2021-02-18,550,550.5999847953647
49,2021-02-19,546,541.7791004934847
50,2021-02-20,523,569.2957258544966
51,2021-02-21,581,550.0818134043509
52,2021-02-22,527,535.0710183079618
53,2021-02-23,623,555.0067600091736
54,2021-02-24,526,538.3942524187231
