Date,Date_1,Region,App_Install,TikTok_Install,TikTok_AEO,Google_UAC_Install,Google_UAC_AEO,Unity_Install,Unity_ROAS,IronSource_Install,Vungle_Roas,Vungle_Other,Applovin_AEO,Applovin_Install,Applovin_Roas,Chart_Boost_Roas,AppleSearch_Install,AppleSearch_Roas,Liftoff_Other,Moloco_Roas,Appier_Install,Kyawake_Other,Mobupps_AEO,Facebook_AEO,Facebook_INSTALL,Facebook_ROAS,New_content,Bug_fix,In_game_event
2021-01-01,01-01-2021,US,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
2021-01-02,01-02-2021,US,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
2021-01-03,01-03-2021,US,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2021-01-04,01-04-2021,US,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2021-01-05,01-05-2021,US,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2021-01-06,01-06-2021,US,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
2021-01-07,01-07-2021,US,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0
2021-01-08,01-08-2021,US,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2021-01-09,01-09-2021,US,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
2021-01-10,01-10-2021,US,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
2021-01-11,01-11-2021,US,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2021-01-12,01-12-2021,US,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
2021-01-13,1/13/2021,US,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
2021-01-14,1/14/2021,US,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
2021-01-15,1/15/2021,US,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
2021-01-16,1/16/2021,US,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
2021-01-17,1/17/2021,US,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
2021-01-18,1/18/2021,US,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,26,0,1,0,0
2021-01-19,1/19/2021,US,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,28,0,1,0,0
2021-01-20,1/20/2021,US,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,28,0,0,0,0
2021-01-21,1/21/2021,US,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,27,0,1,0,0
2021-01-22,1/22/2021,US,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,27,0,0,0,0
2021-01-23,1/23/2021,US,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,28,0,0,0,0
2021-01-24,1/24/2021,US,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,26,0,0,0,0
2021-01-25,1/25/2021,US,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
2021-01-26,1/26/2021,US,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,0,1,1,0
2021-01-27,1/27/2021,US,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,24,0,0,0,0
2021-01-28,1/28/2021,US,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,24,0,0,0,0
2021-01-29,1/29/2021,US,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,25,0,0,0,0
2021-01-30,1/30/2021,US,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,0,0,0,0
2021-01-31,1/31/2021,US,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,23,0,0,0,0
2021-02-01,02-01-2021,US,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,0,0,0,0
2021-02-02,02-02-2021,US,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,36,0,0,0,0
2021-02-03,02-03-2021,US,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,0,0,0,0
2021-02-04,02-04-2021,US,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,31,0,0,0,0
2021-02-05,02-05-2021,US,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,31,0,1,0,0
2021-02-06,02-06-2021,US,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,0,0,0,0
2021-02-07,02-07-2021,US,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,0,0,0,0
2021-02-08,02-08-2021,US,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,31,0,1,0,0
2021-02-09,02-09-2021,US,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,31,0,0,0,0
2021-02-10,02-10-2021,US,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,32,0,0,0,0
2021-02-11,02-11-2021,US,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,34,0,0,0,0
2021-02-12,02-12-2021,US,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,35,0,0,0,0
2021-02-13,2/13/2021,US,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,35,0,1,0,0
2021-02-14,2/14/2021,US,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,37,0,0,0,0
2021-02-15,2/15/2021,US,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,0,0,0,0
2021-02-16,2/16/2021,US,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,38,0,0,0,0
2021-02-17,2/17/2021,US,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,37,0,1,0,0
2021-02-18,2/18/2021,US,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,33,0,0,0,0
2021-02-19,2/19/2021,US,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,0,1,0,0
2021-02-20,2/20/2021,US,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,32,0,0,0,0
2021-02-21,2/21/2021,US,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,31,0,0,0,0
2021-02-22,2/22/2021,US,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,28,0,1,0,0
2021-02-23,2/23/2021,US,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26,0,0,0,0
2021-02-24,2/24/2021,US,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,29,0,0,0,0
2021-02-25,2/25/2021,US,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,27,0,0,0,0
2021-02-26,2/26/2021,US,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,0,1,0,0
2021-02-27,2/27/2021,US,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,29,0,0,0,0
2021-02-28,2/28/2021,US,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,0,0,0,0
2021-03-01,03-01-2021,US,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,29,0,0,0,0
2021-03-02,03-02-2021,US,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,33,0,0,0,0
2021-03-03,03-03-2021,US,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,29,0,0,0,0
2021-03-04,03-04-2021,US,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,26,0,0,0,0
2021-03-05,03-05-2021,US,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,33,0,1,0,0
2021-03-06,03-06-2021,US,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,33,0,0,0,0
2021-03-07,03-07-2021,US,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,31,0,0,0,0
2021-03-08,03-08-2021,US,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,31,0,0,0,0
2021-03-09,03-09-2021,US,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,43,0,0,0,0
2021-03-10,03-10-2021,US,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,46,0,0,0,0
2021-03-11,03-11-2021,US,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,43,0,0,0,0
2021-03-12,03-12-2021,US,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,40,0,0,0,0
2021-03-13,3/13/2021,US,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,41,0,0,0,0
2021-03-14,3/14/2021,US,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0
2021-03-15,3/15/2021,US,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,43,0,0,0,0
2021-03-16,3/16/2021,US,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,40,0,1,0,0
2021-03-17,3/17/2021,US,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,41,0,0,0,0
2021-03-18,3/18/2021,US,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,41,0,1,0,0
2021-03-19,3/19/2021,US,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,40,0,0,0,0
2021-03-20,3/20/2021,US,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,36,0,0,0,0
2021-03-21,3/21/2021,US,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,38,0,0,0,0
2021-03-22,3/22/2021,US,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,39,6,0,0,0
2021-03-23,3/23/2021,US,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,51,5,0,0,0
2021-03-24,3/24/2021,US,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,39,0,0,0,0
2021-03-25,3/25/2021,US,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37,0,0,0,0
2021-03-26,3/26/2021,US,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,45,0,0,0,0
2021-03-27,3/27/2021,US,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,45,0,0,0,0
2021-03-28,3/28/2021,US,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,49,0,0,0,0
2021-03-29,3/29/2021,US,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,44,0,0,0,0
2021-03-30,3/30/2021,US,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,41,0,1,0,0
2021-03-31,3/31/2021,US,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,69,0,1,0,0
