date(DateTimeOffset),channel(String),optimize(String),impression(Int64),cost(Decimal),new_user(Int64),day1_revenue(Decimal),day7_revenue(Decimal),day14_revenue(Decimal)
1/3/2022 12:00:00 AM +00:00,Vungle (61c13dced41d3500101b4cef),ROAS,94964,2427,192,6.71,139.86,268.31
1/3/2022 12:00:00 AM +00:00,Unity (61c06cab2cd994fec218c0ab),ROAS,2185,200.35,25,21.73,52.57,86.26
1/3/2022 12:00:00 AM +00:00,Unity (612db4293201446aea84eb37),ROAS,10065,885.13,47,22.16,77.08,117.86
1/3/2022 12:00:00 AM +00:00,Unity (60a4e5353aade805296adfa0),ROAS,11517,1019.69,46,37.77,102.71,126.51
1/3/2022 12:00:00 AM +00:00,Unity (6081233cd01097498049b622),INSTALL,37047,799.76,145,50.29,213.71,341.99
1/3/2022 12:00:00 AM +00:00,Unity (6066e99c352a0bbbf644ec71),INSTALL,44764,1504.27,257,90.26,449.6,580.15
1/3/2022 12:00:00 AM +00:00,Moloco (qndPqBpJ1dAMf41N),ROAS,10226115,7517.69,844,313.71,1473.94,2813.36
1/3/2022 12:00:00 AM +00:00,Liftoff (88ffd090d1),OTHER,495732,11519.53,736,197.84,1725.91,3231.24
1/3/2022 12:00:00 AM +00:00,IronSource (8454073),INSTALL,24905,1460.83,52,17.21,116.02,147.04
1/3/2022 12:00:00 AM +00:00,IronSource (8437695),INSTALL,35511,731.6,131,37.7,158.72,211.4
1/3/2022 12:00:00 AM +00:00,GoogleUAC (12661998941),AEO,79439,4011.99,11,0.33,21.55,32.43
1/3/2022 12:00:00 AM +00:00,Facebook (23848330050610631),ROAS,81038,1226.97,0,0,0,0
1/3/2022 12:00:00 AM +00:00,Facebook (23847706553010631),ROAS,493329,9321.81,0,0,0,0
1/3/2022 12:00:00 AM +00:00,Facebook (23847011685740631),AEO,488262,4122.09,0,0,0,0
1/3/2022 12:00:00 AM +00:00,Facebook (23847011092900631),INSTALL,3358,35.2,0,0,0,0
1/3/2022 12:00:00 AM +00:00,Applovin (1b9638f46b9476ed96e6ccf54b2cc7bd),INSTALL,6026,450,24,10.21,51.89,81.41
1/3/2022 12:00:00 AM +00:00,Applovin (1619a4ec3c54d4c51e469d3f245c1b4e),AEO,13750,1923.96,109,24.43,457.95,1272.34
1/3/2022 12:00:00 AM +00:00,AppleSearch (893215735),ROAS,92,41.02,3,0.29,90.2,152.15
1/3/2022 12:00:00 AM +00:00,AppleSearch (893208478),ROAS,3970,1248.04,55,15.17,133.59,275.06
