date(DateTimeOffset),channel(String),optimize(String),impression(Int64),cost(Decimal),new_user(Int64),day1_revenue(Decimal),day7_revenue(Decimal),day14_revenue(Decimal)
5/20/2022 12:00:00 AM +00:00,Unity (62763ef7c4303ff733bd25ea),ROAS,9277,541.41,30,0.64,33.71,62.87
5/20/2022 12:00:00 AM +00:00,Unity (612db4293201446aea84eb37),ROAS,20951,902.78,60,28.33,42.01,60.26
5/20/2022 12:00:00 AM +00:00,Snapchat (77f9f89f-7b27-4210-b716-30fa9bba1eb5),AEO,55346,499.99,6,0,0.4,2.07
5/20/2022 12:00:00 AM +00:00,Moloco (qndPqBpJ1dAMf41N),ROAS,11145153,11045.77,642,53.3,477.44,878.14
5/20/2022 12:00:00 AM +00:00,Liftoff (88ffd090d1),OTHER,361087,14264.04,578,128.25,631.01,1040.13
5/20/2022 12:00:00 AM +00:00,Kyawake (KY-clo1),OTHER,252366,22,2,0,0,0
5/20/2022 12:00:00 AM +00:00,Kyawake (KY-can),OTHER,0,1578.5,211,15.75,128,179.49
5/20/2022 12:00:00 AM +00:00,Kaden (11435),ROAS,6804708,1200.78,128,16.68,165.35,275.14
5/20/2022 12:00:00 AM +00:00,Kaden (11434),ROAS,1465901,149.75,37,2.13,254.35,327.72
5/20/2022 12:00:00 AM +00:00,GoogleUAC (12661998941),AEO,23783,1236.83,2,0,0,0
5/20/2022 12:00:00 AM +00:00,Facebook (23849554058460631),ROAS,56571,1277.44,0,0,0,0
5/20/2022 12:00:00 AM +00:00,Facebook (23848522630040631),AEO,4,0.01,0,0,0,0
5/20/2022 12:00:00 AM +00:00,Facebook (23847706553010631),ROAS,191055,4313.61,0,0,0,0
5/20/2022 12:00:00 AM +00:00,Facebook (23847011685740631),AEO,146170,2238.32,0,0,0,0
5/20/2022 12:00:00 AM +00:00,Facebook (23847011092900631),INSTALL,1997,35,0,0,0,0
5/20/2022 12:00:00 AM +00:00,Chartboost (61e14238d5feab0838c66aad),ROAS,22403,280.47,2,0,0.77,2
5/20/2022 12:00:00 AM +00:00,Applovin (2b5a3e161e7c1e7999d0d5cf7c1605fb),ROAS,68090,16483.19,262,200.41,1137.19,1845.19
5/20/2022 12:00:00 AM +00:00,Applovin (1619a4ec3c54d4c51e469d3f245c1b4e),AEO,54350,11254.04,313,106.41,988.44,1767.15
5/20/2022 12:00:00 AM +00:00,AppleSearch (893215735),ROAS,1503,335.3,0,0,0,0
5/20/2022 12:00:00 AM +00:00,AppleSearch (893208478),ROAS,2630,2013.13,46,3.93,133.94,276.88
5/20/2022 12:00:00 AM +00:00,Appier (DreamIsland_e9bd787568a7),INSTALL,3723735,870,61,7.08,79.87,119.18
