Date,App_D7_Revenue
1/1/2022,"8,417"
1/2/2022,"7,774"
1/3/2022,"7,627"
1/4/2022,"7,303"
1/5/2022,"7,652"
1/6/2022,"9,675"
1/7/2022,"11,313"
1/8/2022,"9,575"
1/9/2022,"10,194"
1/10/2022,"9,509"
1/11/2022,"7,987"
1/12/2022,"9,241"
1/13/2022,"9,873"
1/14/2022,"9,641"
1/15/2022,"13,152"
1/16/2022,"13,652"
1/17/2022,"10,762"
1/18/2022,"15,291"
1/19/2022,"11,666"
1/20/2022,"12,144"
1/21/2022,"10,004"
1/22/2022,"12,207"
1/23/2022,"12,472"
1/24/2022,"11,555"
1/25/2022,"14,682"
1/26/2022,"13,391"
1/27/2022,"11,497"
1/28/2022,"14,107"
1/29/2022,"16,444"
1/30/2022,"16,274"
1/31/2022,"12,929"
2/1/2022,"12,013"
2/2/2022,"10,966"
2/3/2022,"14,644"
2/4/2022,"12,815"
2/5/2022,"16,232"
2/6/2022,"13,723"
2/7/2022,"10,606"
2/8/2022,"10,857"
2/9/2022,"10,797"
2/10/2022,"11,491"
2/11/2022,"13,262"
2/12/2022,"14,991"
2/13/2022,"17,784"
2/14/2022,"15,590"
2/15/2022,"16,450"
2/16/2022,"14,280"
2/17/2022,"16,376"
2/18/2022,"12,980"
2/19/2022,"18,379"
2/20/2022,"21,167"
2/21/2022,"15,375"
2/22/2022,"15,931"
2/23/2022,"14,300"
2/24/2022,"14,911"
2/25/2022,"15,446"
2/26/2022,"19,393"
2/27/2022,"15,439"
2/28/2022,"13,640"
3/1/2022,"11,343"
3/2/2022,"13,366"
3/3/2022,"11,829"
3/4/2022,"14,590"
3/5/2022,"16,320"
3/6/2022,"17,343"
3/7/2022,"16,476"
3/8/2022,"16,732"
3/9/2022,"15,378"
3/10/2022,"11,048"
3/11/2022,"12,454"
3/12/2022,"12,579"
3/13/2022,"12,513"
3/14/2022,"9,760"
3/15/2022,"9,660"
3/16/2022,"9,596"
3/17/2022,"6,682"
3/18/2022,"10,558"
3/19/2022,"12,346"
3/20/2022,"10,658"
3/21/2022,"8,704"
3/22/2022,"10,594"
3/23/2022,"9,032"
3/24/2022,"10,107"
3/25/2022,"6,879"
3/26/2022,"11,389"
3/27/2022,"10,078"
3/28/2022,"7,090"
3/29/2022,"7,075"
3/30/2022,"7,212"
3/31/2022,"5,414"
4/1/2022,"5,391"
4/2/2022,"8,680"
4/3/2022,"8,808"
4/4/2022,"6,085"
4/5/2022,"5,948"
4/6/2022,"6,221"
4/7/2022,"6,013"
4/8/2022,"7,197"
4/9/2022,"7,874"
4/10/2022,"7,881"
4/11/2022,"5,936"
4/12/2022,"6,577"
4/13/2022,"5,295"
4/14/2022,"6,070"
4/15/2022,"6,530"
4/16/2022,"7,650"
4/17/2022,"8,250"
4/18/2022,"6,140"
4/19/2022,"7,294"
4/20/2022,"7,812"
4/21/2022,"5,453"
4/22/2022,"6,625"
4/23/2022,"8,071"
4/24/2022,"8,023"
4/25/2022,"8,346"
4/26/2022,"6,778"
4/27/2022,"6,556"
4/28/2022,"6,042"
4/29/2022,"6,452"
4/30/2022,"8,439"
5/1/2022,"9,936"
5/2/2022,"7,869"
5/3/2022,"7,575"
5/4/2022,"4,667"
5/5/2022,"7,020"
5/6/2022,"5,525"
5/7/2022,"7,391"
5/8/2022,"6,296"
5/9/2022,"6,089"
5/10/2022,"5,623"
5/11/2022,"4,320"
5/12/2022,"4,881"
5/13/2022,"5,410"
5/14/2022,"6,144"
5/15/2022,"8,070"
5/16/2022,"7,235"
5/17/2022,"6,161"
5/18/2022,"4,831"
5/19/2022,"5,718"
5/20/2022,"5,211"
5/21/2022,"6,800"
5/22/2022,"8,442"
5/23/2022,"5,237"
5/24/2022,"6,073"
5/25/2022,"4,757"
5/26/2022,"4,947"
5/27/2022,"4,917"
5/28/2022,"9,901"
5/29/2022,"7,681"
5/30/2022,"7,786"
5/31/2022,"5,127"
6/1/2022,"5,702"
6/2/2022,"7,214"
6/3/2022,"5,399"
6/4/2022,"8,690"
6/5/2022,"8,135"
6/6/2022,"8,681"
6/7/2022,"7,128"
6/8/2022,"8,446"
6/9/2022,"7,458"
6/10/2022,"7,429"
6/11/2022,"10,463"
6/12/2022,"11,624"
6/13/2022,"9,964"
6/14/2022,"8,948"
6/15/2022,"8,208"
6/16/2022,"8,789"
6/17/2022,"8,672"
6/18/2022,"11,497"
6/19/2022,"12,875"
6/20/2022,"8,144"
6/21/2022,"5,531"
6/22/2022,"5,784"
6/23/2022,"7,194"
6/24/2022,"4,798"
6/25/2022,"7,335"
6/26/2022,"7,832"
6/27/2022,"6,704"
6/28/2022,"6,312"
6/29/2022,"4,580"
6/30/2022,"5,421"
