date,impression_Appier_INSTALL,impression_AppleSearch_ROAS,impression_Applovin_AEO,impression_Applovin_ALL,impression_Applovin_INSTALL,impression_Applovin_ROAS,impression_Chartboost_ROAS,impression_Exmox_AEO,impression_Facebook_AEO,impression_Facebook_ALL,impression_Facebook_INSTALL,impression_Facebook_ROAS,impression_GoogleUAC_AEO,impression_GoogleUAC_ALL,impression_GoogleUAC_ROAS,impression_IronSource_INSTALL,impression_Jampp_ROAS,impression_Kaden_ROAS,impression_Kyawake_ALL,impression_Kyawake_OTHER,impression_Kyawake_ROAS,impression_Liftoff_OTHER,impression_Mobupps_AEO,impression_Moloco_ROAS,impression_Snapchat_AEO,impression_Snapchat_INSTALL,impression_TikTok_AEO,impression_TikTok_INSTALL,impression_Unity_INSTALL,impression_Unity_ROAS,impression_Vungle_OTHER,impression_Vungle_ROAS,spend_Appier_INSTALL,spend_AppleSearch_ROAS,spend_Applovin_AEO,spend_Applovin_ALL,spend_Applovin_INSTALL,spend_Applovin_ROAS,spend_Chartboost_ROAS,spend_Exmox_AEO,spend_Facebook_AEO,spend_Facebook_ALL,spend_Facebook_INSTALL,spend_Facebook_ROAS,spend_GoogleUAC_AEO,spend_GoogleUAC_ALL,spend_GoogleUAC_ROAS,spend_IronSource_INSTALL,spend_Jampp_ROAS,spend_Kaden_ROAS,spend_Kyawake_ALL,spend_Kyawake_OTHER,spend_Kyawake_ROAS,spend_Liftoff_OTHER,spend_Mobupps_AEO,spend_Moloco_ROAS,spend_Snapchat_AEO,spend_Snapchat_INSTALL,spend_TikTok_AEO,spend_TikTok_INSTALL,spend_Unity_INSTALL,spend_Unity_ROAS,spend_Vungle_OTHER,spend_Vungle_ROAS,advertising_new_user,day1_revenue,advertising_day7_revenue,day14_revenue,publish_force,publish_hot,publish_bug,publish_internal,publish_external,kpi_day7_revenue,kpi_new_user,retention,active_revenue
2022-01-01,,5498.0,25688.0,,5516.0,,,,626632.0,,4187.0,573130.0,74728.0,,,40554.0,,,,,,532721.0,,10027961.0,,,,,79248.0,30592.0,,117741.0,,1249.5600000000002,1755.88,,450.0,,,,4224.18,,36.29,10764.04,3922.67,,,1019.3399999999999,,,,,,12266.19,,7512.99,,,,,2304.2400000000002,2132.01,,2873.0,2986,805.87,5046.28,8410.800000000001,0.0,0.0,0.0,0.0,0.0,8416.6,4320.0,48.84,40848.450000000004
2022-01-02,,5986.0,18724.0,,4895.0,,,,422058.0,,4803.0,555692.0,90000.0,,,55337.0,,,,,,527868.0,,10322028.0,,,,,77899.0,25788.0,,142391.0,,1257.47,2247.81,,390.0,,,,4313.99,,36.63,11008.09,3963.57,,,2219.37,,,,,,12466.12,,7518.77,,,,,2302.96,2126.06,,3640.0,3229,678.6500000000001,4389.49,8041.4,0.0,0.0,0.0,0.0,0.0,7773.88,4740.0,48.92,38377.71
2022-01-03,,4062.0,13750.0,,6026.0,,,,488262.0,,3358.0,574367.0,79439.0,,,60416.0,,,,,,495732.0,,10226115.0,,,,,81811.0,23767.0,,94964.0,,1289.06,1923.96,,450.0,,,,4122.09,,35.2,10548.779999999999,4011.9900000000002,,,2192.43,,,,,,11519.53,,7517.6900000000005,,,,,2304.0299999999997,2105.17,,2427.0,2677,845.81,5265.3,9737.51,0.0,0.0,0.0,0.0,0.0,7627.2300000000005,4051.0,48.28,38159.090000000004
2022-01-04,,3515.0,13397.0,,5154.0,,,,494812.0,,3843.0,627005.0,90817.0,,,59527.0,,,,,,492472.0,,10700699.0,,,,,83603.0,26225.0,,112872.0,,1269.68,1472.1000000000001,,290.0,,,,4302.43,,35.37,11198.2,3926.2400000000002,,,1535.6100000000001,,,,,,11880.5,,7514.360000000001,,,,,2312.7400000000002,2206.1000000000004,,2303.0,2666,547.38,3768.67,6721.5,0.0,0.0,0.0,0.0,0.0,7303.1,4045.0,48.16,29956.11
2022-01-05,,3916.0,25389.0,,6532.0,16799.0,,,532451.0,,3471.0,610744.0,70899.0,,,52731.0,,,,,,537542.0,,10953869.0,,,,,77586.0,32951.0,,127008.0,,1178.41,1861.65,,370.0,296.7,,,4314.43,,36.02,11042.400000000001,3498.52,,,1411.2800000000002,,,,,,11997.82,,7514.37,,,,,2289.61,2323.41,,3499.0,2852,691.57,4706.93,8645.470000000001,0.0,0.0,0.0,0.0,0.0,7652.25,4223.0,48.8,30735.04
2022-01-06,,4759.0,19209.0,,4216.0,14503.0,,,537340.0,,2992.0,569768.0,91721.0,,,49353.0,,,,,,531754.0,,10700947.0,,,,,85739.0,30258.0,,124318.0,,1525.9,2211.63,,306.0,1309.03,,,4338.9800000000005,,35.93,10874.56,3905.34,,,1160.68,,,,,,12485.42,,7351.9400000000005,,,,,2308.92,2473.86,,3383.0,2803,687.09,5716.07,9658.87,0.0,0.0,0.0,0.0,0.0,9675.28,4220.0,45.83,34398.91
2022-01-07,,4925.0,31042.0,,1555.0,19599.0,,,593515.0,,2976.0,594477.0,106613.0,,,50144.0,,,,,,456326.0,,9972433.0,,,,,111941.0,33678.0,,135109.0,,1443.3400000000001,2084.05,,186.0,2727.57,,,4555.07,,36.17,11523.36,4391.400000000001,,,1184.1200000000001,,,,,,12267.800000000001,,7515.06,,,,,3172.4800000000005,2181.25,,3607.0,2940,1395.34,7776.849999999999,13023.73,0.0,0.0,0.0,0.0,0.0,11313.0,4529.0,47.410000000000004,34241.64
2022-01-08,,5853.0,27593.0,,2766.0,12898.0,,,612529.0,,4133.0,645474.0,121643.0,,,58490.0,,,,,,611455.0,,10721625.0,,,,,105131.0,33549.0,,122409.0,,1707.15,2269.84,,102.0,3050.86,,,4731.4800000000005,,39.26,11772.550000000001,4113.41,,,1566.51,,,,,,12410.1,,7505.89,,,,,2939.0299999999997,2926.04,,3429.0,3418,1221.72,5859.64,10518.37,0.0,0.0,0.0,0.0,0.0,9574.56,5109.0,48.03000000000001,38445.590000000004
2022-01-09,,5067.0,25081.0,,2555.0,16279.0,,,649380.0,,3558.0,568221.0,97634.0,,,79674.0,,,,,,616941.0,,9897927.0,,,,,107104.0,34107.0,,113608.0,,1562.1299999999999,2038.52,,150.0,2793.39,,,4769.79,,35.33,10928.62,4086.77,,,2307.74,,,,,,12328.99,,7517.04,,,,,3346.75,2966.33,,3697.0,3675,1359.76,6012.28,9905.39,0.0,0.0,0.0,0.0,0.0,10193.819999999998,5374.0,45.440000000000005,38706.31
2022-01-10,,4752.0,46707.0,,1703.0,20344.0,,,637585.0,,3301.0,612649.0,136461.0,,,69269.0,,,,,,459308.0,,10222146.0,,,,,99537.0,39069.0,,95134.0,,1618.43,2548.52,,120.0,3347.36,,,4994.28,,36.08,11543.470000000001,4303.63,,,2048.35,,,,,,11425.41,,8929.54,,,,,2658.43,3146.1,,2425.0,3284,953.45,6486.79,10339.300000000001,0.0,0.0,0.0,0.0,0.0,9508.880000000001,4781.0,48.32,35648.26
