date,region,kpi_new_user,retention,active_revenue,impression_Appier_INSTALL,impression_AppleSearch_ROAS,impression_Applovin_AEO,impression_Applovin_ALL,impression_Applovin_INSTALL,impression_Applovin_ROAS,impression_Chartboost_ROAS,impression_Exmox_AEO,impression_Facebook_AEO,impression_Facebook_ALL,impression_Facebook_INSTALL,impression_Facebook_ROAS,impression_GoogleUAC_AEO,impression_GoogleUAC_ALL,impression_GoogleUAC_ROAS,impression_IronSource_INSTALL,impression_Jampp_ROAS,impression_Kaden_ROAS,impression_Kyawake_ALL,impression_Kyawake_OTHER,impression_Kyawake_ROAS,impression_Liftoff_OTHER,impression_Mobupps_AEO,impression_Moloco_ROAS,impression_Snapchat_AEO,impression_Snapchat_INSTALL,impression_TikTok_AEO,impression_TikTok_INSTALL,impression_Unity_INSTALL,impression_Unity_ROAS,impression_Vungle_OTHER,impression_Vungle_ROAS,spend_Appier_INSTALL,spend_AppleSearch_ROAS,spend_Applovin_AEO,spend_Applovin_ALL,spend_Applovin_INSTALL,spend_Applovin_ROAS,spend_Chartboost_ROAS,spend_Exmox_AEO,spend_Facebook_AEO,spend_Facebook_ALL,spend_Facebook_INSTALL,spend_Facebook_ROAS,spend_GoogleUAC_AEO,spend_GoogleUAC_ALL,spend_GoogleUAC_ROAS,spend_IronSource_INSTALL,spend_Jampp_ROAS,spend_Kaden_ROAS,spend_Kyawake_ALL,spend_Kyawake_OTHER,spend_Kyawake_ROAS,spend_Liftoff_OTHER,spend_Mobupps_AEO,spend_Moloco_ROAS,spend_Snapchat_AEO,spend_Snapchat_INSTALL,spend_TikTok_AEO,spend_TikTok_INSTALL,spend_Unity_INSTALL,spend_Unity_ROAS,spend_Vungle_OTHER,spend_Vungle_ROAS,advertising_new_user,day1_revenue,advertising_day7_revenue,day14_revenue,publish_force,publish_hot,publish_bug,publish_internal,publish_external,kpi_day7_revenue
2022-01-01,US,4320.0,48.84,40848.450000000004,0.0,5.5,25.69,0.0,5.52,0.0,0.0,0.0,626.63,0.0,4.19,573.13,74.73,0.0,0.0,40.559999999999995,0.0,0.0,0.0,0.0,0.0,532.72,0.0,10027.96,0.0,0.0,0.0,0.0,79.25,30.590000000000003,0.0,117.74,0.0,1249.5600000000002,1755.88,0.0,450.0,0.0,0.0,0.0,4224.18,0.0,36.29,10764.04,3922.67,0.0,0.0,1019.3399999999999,0.0,0.0,0.0,0.0,0.0,12266.19,0.0,7512.99,0.0,0.0,0.0,0.0,2304.2400000000002,2132.01,0.0,2873.0,2986,805.87,5046.28,8410.800000000001,0.0,0.0,0.0,0.0,0.0,8416.6
2022-01-02,US,4740.0,48.92,38377.71,0.0,5.99,18.72,0.0,4.89,0.0,0.0,0.0,422.06,0.0,4.8,555.7,90.0,0.0,0.0,55.34,0.0,0.0,0.0,0.0,0.0,527.87,0.0,10322.03,0.0,0.0,0.0,0.0,77.9,25.79,0.0,142.39,0.0,1257.47,2247.81,0.0,390.0,0.0,0.0,0.0,4313.99,0.0,36.63,11008.09,3963.57,0.0,0.0,2219.37,0.0,0.0,0.0,0.0,0.0,12466.12,0.0,7518.77,0.0,0.0,0.0,0.0,2302.96,2126.06,0.0,3640.0,3229,678.6500000000001,4389.49,8041.4,0.0,0.0,0.0,0.0,0.0,7773.88
2022-01-03,US,4051.0,48.28,38159.090000000004,0.0,4.0600000000000005,13.75,0.0,6.03,0.0,0.0,0.0,488.26,0.0,3.36,574.37,79.44,0.0,0.0,60.41,0.0,0.0,0.0,0.0,0.0,495.73,0.0,10226.12,0.0,0.0,0.0,0.0,81.81,23.759999999999998,0.0,94.96,0.0,1289.06,1923.96,0.0,450.0,0.0,0.0,0.0,4122.09,0.0,35.2,10548.779999999999,4011.9900000000002,0.0,0.0,2192.43,0.0,0.0,0.0,0.0,0.0,11519.53,0.0,7517.6900000000005,0.0,0.0,0.0,0.0,2304.0299999999997,2105.17,0.0,2427.0,2677,845.81,5265.3,9737.51,0.0,0.0,0.0,0.0,0.0,7627.2300000000005
2022-01-04,US,4045.0,48.16,29956.11,0.0,3.52,13.4,0.0,5.15,0.0,0.0,0.0,494.81,0.0,3.84,627.0,90.82,0.0,0.0,59.52,0.0,0.0,0.0,0.0,0.0,492.47,0.0,10700.7,0.0,0.0,0.0,0.0,83.6,26.23,0.0,112.87,0.0,1269.68,1472.1000000000001,0.0,290.0,0.0,0.0,0.0,4302.43,0.0,35.37,11198.2,3926.2400000000002,0.0,0.0,1535.6100000000001,0.0,0.0,0.0,0.0,0.0,11880.5,0.0,7514.360000000001,0.0,0.0,0.0,0.0,2312.7400000000002,2206.1000000000004,0.0,2303.0,2666,547.38,3768.67,6721.5,0.0,0.0,0.0,0.0,0.0,7303.1
2022-01-05,US,4223.0,48.8,30735.04,0.0,3.92,25.39,0.0,6.53,16.8,0.0,0.0,532.45,0.0,3.47,610.74,70.9,0.0,0.0,52.73,0.0,0.0,0.0,0.0,0.0,537.54,0.0,10953.87,0.0,0.0,0.0,0.0,77.59,32.95,0.0,127.01,0.0,1178.41,1861.65,0.0,370.0,296.7,0.0,0.0,4314.43,0.0,36.02,11042.400000000001,3498.52,0.0,0.0,1411.2800000000002,0.0,0.0,0.0,0.0,0.0,11997.82,0.0,7514.37,0.0,0.0,0.0,0.0,2289.61,2323.41,0.0,3499.0,2852,691.57,4706.93,8645.470000000001,0.0,0.0,0.0,0.0,0.0,7652.25
2022-01-06,US,4220.0,45.83,34398.91,0.0,4.760000000000001,19.21,0.0,4.22,14.5,0.0,0.0,537.34,0.0,2.99,569.76,91.72,0.0,0.0,49.36,0.0,0.0,0.0,0.0,0.0,531.75,0.0,10700.95,0.0,0.0,0.0,0.0,85.74000000000001,30.25,0.0,124.32,0.0,1525.9,2211.63,0.0,306.0,1309.03,0.0,0.0,4338.9800000000005,0.0,35.93,10874.56,3905.34,0.0,0.0,1160.68,0.0,0.0,0.0,0.0,0.0,12485.42,0.0,7351.9400000000005,0.0,0.0,0.0,0.0,2308.92,2473.86,0.0,3383.0,2803,687.09,5716.07,9658.87,0.0,0.0,0.0,0.0,0.0,9675.28
2022-01-07,US,4529.0,47.410000000000004,34241.64,0.0,4.93,31.04,0.0,1.56,19.6,0.0,0.0,593.52,0.0,2.98,594.47,106.61,0.0,0.0,50.14,0.0,0.0,0.0,0.0,0.0,456.33,0.0,9972.43,0.0,0.0,0.0,0.0,111.94,33.67,0.0,135.11,0.0,1443.3400000000001,2084.05,0.0,186.0,2727.57,0.0,0.0,4555.07,0.0,36.17,11523.36,4391.400000000001,0.0,0.0,1184.1200000000001,0.0,0.0,0.0,0.0,0.0,12267.800000000001,0.0,7515.06,0.0,0.0,0.0,0.0,3172.4800000000005,2181.25,0.0,3607.0,2940,1395.34,7776.849999999999,13023.73,0.0,0.0,0.0,0.0,0.0,11313.0
2022-01-08,US,5109.0,48.03000000000001,38445.590000000004,0.0,5.859999999999999,27.59,0.0,2.77,12.9,0.0,0.0,612.53,0.0,4.13,645.48,121.64,0.0,0.0,58.49,0.0,0.0,0.0,0.0,0.0,611.46,0.0,10721.62,0.0,0.0,0.0,0.0,105.14,33.54,0.0,122.41,0.0,1707.15,2269.84,0.0,102.0,3050.86,0.0,0.0,4731.4800000000005,0.0,39.26,11772.550000000001,4113.41,0.0,0.0,1566.51,0.0,0.0,0.0,0.0,0.0,12410.1,0.0,7505.89,0.0,0.0,0.0,0.0,2939.0299999999997,2926.04,0.0,3429.0,3418,1221.72,5859.64,10518.37,0.0,0.0,0.0,0.0,0.0,9574.56
2022-01-09,US,5374.0,45.440000000000005,38706.31,0.0,5.07,25.08,0.0,2.56,16.28,0.0,0.0,649.38,0.0,3.56,568.22,97.63,0.0,0.0,79.67,0.0,0.0,0.0,0.0,0.0,616.94,0.0,9897.93,0.0,0.0,0.0,0.0,107.1,34.11,0.0,113.61,0.0,1562.1299999999999,2038.52,0.0,150.0,2793.39,0.0,0.0,4769.79,0.0,35.33,10928.62,4086.77,0.0,0.0,2307.74,0.0,0.0,0.0,0.0,0.0,12328.99,0.0,7517.04,0.0,0.0,0.0,0.0,3346.75,2966.33,0.0,3697.0,3675,1359.76,6012.28,9905.39,0.0,0.0,0.0,0.0,0.0,10193.819999999998
2022-01-10,US,4781.0,48.32,35648.26,0.0,4.75,46.71,0.0,1.7,20.34,0.0,0.0,637.58,0.0,3.3,612.65,136.46,0.0,0.0,69.27,0.0,0.0,0.0,0.0,0.0,459.31,0.0,10222.15,0.0,0.0,0.0,0.0,99.53999999999999,39.07,0.0,95.13,0.0,1618.43,2548.52,0.0,120.0,3347.36,0.0,0.0,4994.28,0.0,36.08,11543.470000000001,4303.63,0.0,0.0,2048.35,0.0,0.0,0.0,0.0,0.0,11425.41,0.0,8929.54,0.0,0.0,0.0,0.0,2658.43,3146.1,0.0,2425.0,3284,953.45,6486.79,10339.300000000001,0.0,0.0,0.0,0.0,0.0,9508.880000000001
