date,channel,optimize,impression,cost,new_user_x,day1_revenue,day7_revenue_x,day14_revenue,publish_force,publish_hot,publish_bug,publish_internal,publish_external,day7_revenue_y,new_user_y,retention,active_revenue
1/1/2022,Vungle (61c13dced41d3500101b4cef),ROAS,117741,2873,319,75.42,293.78,673.86,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Unity (61c06cab2cd994fec218c0ab),ROAS,3300,204.11,12,1.07,35.5,51.15,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Unity (612db4293201446aea84eb37),ROAS,12990,891.63,36,1.09,7.36,72.35,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Unity (6116217fd19d5606f9bcd4b2),ROAS,3,1.22,0,0,0,0,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Unity (60a4e5353aade805296adfa0),ROAS,14299,1035.05,64,16.99,251.9,340.82,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Unity (6081233cd01097498049b622),INSTALL,38918,802.33,158,46.61,162.3,207.31,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Unity (6066e99c352a0bbbf644ec71),INSTALL,40330,1501.91,353,98.8,494.57,662.9,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Moloco (qndPqBpJ1dAMf41N),ROAS,10027961,7512.99,786,120.25,896.4,1670.93,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Liftoff (88ffd090d1),OTHER,532721,12266.19,803,251.85,1573.47,3060.59,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,IronSource (8454073),INSTALL,8077,381.44,100,24.32,117.83,146.61,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,IronSource (8437695),INSTALL,32477,637.9,98,22.12,103.1,150.61,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,GoogleUAC (12661998941),AEO,74728,3922.67,11,4.15,33.98,57.41,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Facebook (23848330050610631),ROAS,64973,1206.35,0,0,0,0,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Facebook (23847706553010631),ROAS,508157,9557.69,0,0,0,0,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Facebook (23847011685740631),AEO,626632,4224.18,0,0,0,0,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Facebook (23847011092900631),INSTALL,4187,36.29,0,0,0,0,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Applovin (1b9638f46b9476ed96e6ccf54b2cc7bd),INSTALL,5516,450,36,81.21,754.35,792,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,Applovin (1619a4ec3c54d4c51e469d3f245c1b4e),AEO,25688,1755.88,139,52.6,259.12,381.31,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,AppleSearch (893215735),ROAS,115,45.39,4,0.86,2.25,3.69,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/1/2022,AppleSearch (893208478),ROAS,5383,1204.17,67,8.53,60.37,139.26,0,0,0,0,0,8416.6,4320,0.4884,40848.45
1/2/2022,Vungle (61c13dced41d3500101b4cef),ROAS,142391,3640,311,9.71,264.75,525.34,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Unity (61c06cab2cd994fec218c0ab),ROAS,2747,200.55,14,2.31,8.92,24.43,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Unity (612db4293201446aea84eb37),ROAS,10322,887.23,54,10.85,147.62,208.58,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Unity (60a4e5353aade805296adfa0),ROAS,12719,1038.28,66,17.59,117.24,213.93,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Unity (6081233cd01097498049b622),INSTALL,36016,800.94,171,43.25,190.28,271.59,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Unity (6066e99c352a0bbbf644ec71),INSTALL,41883,1502.02,285,90.84,352.4,550.02,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Moloco (qndPqBpJ1dAMf41N),ROAS,10322028,7518.77,925,106.45,755.57,1643.31,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,Liftoff (88ffd090d1),OTHER,527868,12466.12,857,258.16,1559.99,2956.75,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,IronSource (8454073),INSTALL,30049,1702.07,235,90.98,350.63,534.01,0,0,0,0,0,7773.88,4740,0.4892,38377.71
1/2/2022,IronSource (8437695),INSTALL,25288,517.3,85,20.76,67.16,84.09,0,0,0,0,0,7773.88,4740,0.4892,38377.71
