Date,Regional,KPI,Country,AC_Affliate_Spends,AC_Affliate_Paid_Orders,AC_Bing_Imp,AC_Criteo_Imp,AC_TikTok_Imp,AC_Average_Price,IB_Headcounts,IB_Affiliate_Imp,IB_TikTok_Imp,IB_Bing_Imp,IB_OpenTv_Grps,IB_PayTv_spends,Polo_Headcounts,Polo_OpenTv_Grps,Polo_PayTv_spends,RE_Affliate_Paid_Orders,RE_Bing_Imp,RE_Criteo_Imp,RE_TikTok_Imp,RE_Average_Price_Ton,FB_TON_Imp,FB_Stone_Leads_Imp,FB_Stone_SA_Imp,Google_TON_Imp,Google_STONE_Imp,Holidays,Mobility_Retail_Recreation,Mobility_Grocery_Pharmacy,Mobility_Parks,Mobility_Transit,Mobility_Workplaces,Mobility_Residential,IB_Headcounts_2020,IB_Headcounts_2021,Polo_Headcounts_2020,Polo_Headcounts_2021,FB_TON_Imp_2020,FB_TON_Imp_2021,FB_Stone_Leads_Imp_2020,FB_Stone_Leads_Imp_2021,FB_Stone_SA_Imp_2020,FB_Stone_SA_Imp_2021,Google_TON_Imp_2020,Google_TON_Imp_2021,Google_STONE_Imp_2020,Google_STONE_Imp_2021,Average_Price_2020,Average_Price_2021,Linear_trend,Poly_trend,Consumer_Confidence_Index,IPCA_Monthly_Rate,Taxa_Selic,Unemployment_rate,H_NY,Pre_H_Ind_LOA_2020,H_Rupublic_Shrove_2020,Pre_H_Easter_2021,H_Easter_Corp_2021,Pre_H_Repblic_2021,Holiday_Dip_2021,Initial_D,Covid_Cases,NY_2020,NY_2021,Easter_2021,Easter_2020,Shrove_2021,AC_Poly_2020,AC_Poly_2021,AC_Linear1,AC_Linear2,AC_LinearNew1,AC_LinearNew2,AC_Seas,IB_Seas,PL_Seas,RE_Seas,Lin_AC,Lin_IB,Lin_PL,Lin_RE,KPI_1,NY_2020_R_AC,NY_2021_R_AC,NY_2020_R_IB,NY_2021_R_IB,NY_2020_R_PL,NY_2021_R_PL,NY_2021_R_RE,RE_Seas_new,Poly_RE,AC_Poly_S,IB_Poly_S,PL_Poly_S,RE_Poly_S,IB_PayTv_spends_M,Covid_AC,ln_Linear_Trend,DummyTrend_AC,DummyTrend_AC_2021,DummyTrend_AC_2020,AC_PreEaster,AC_Post_Easter,AC_Easter,Avg_Price_2020,Avg_Price_2021,AC_PreH_Ind_2020,AC_H_rep_2020,AC_PreH_Easter_2021,AC_Jan,AC_Feb,AC_Mar,AC_Apr,AC_LinTrend,AC_PolyTrend,IB_PolyTrend,PL_PolyTrend,RE_PolyTrend,PL_PolyTrend_New,RE_PolyTrend_New,PL_Seas_New,PL_Seas_New_2020,PL_Seas_New_2021,Polo_PayTv_spends_M,Mobility_Transit_2020,Mobility_Transit_2021,IB_Seas_New,AC_Affliate_Spends_M,AC_Seas_New,AC_Black_Friday,IB_Black_Friday,PL_Black_Friday,RE_Black_Friday,PreH_BF_RD,AC_PreHNov_D1,AC_PreHNov_D2,AC_PreXmas_2020,PL_PreXmas_2020,PL_PreBalckFriday_2021,PL_PreEaster_2020,PL_PreEaster_2021,IB_Covid_D,PaymentCredit,PaymentDebit,IB_PreEaster,PL_PreEaster_2021New,IB_PreLabour,PL_HDIP,AC_HPUB,AC_Rup_2021,KPI_2020,KPI_2021,AC_BT,IB_BT,PL_BT,RE_BT,AC_PolyTrend_2020,AC_PolyTrend_2021,IB_PolyTrend_2020,IB_PolyTrend_2021,PL_PolyTrend_2020,PL_PolyTrend_2021,IB_Seas_New_2020,IB_Seas_New_2021,AC_PT_New,PL_DFEB24,PL_Djun1,PL_DOct25_2021,PL_DOct25_2021_V2,PL_DMay31_2021,RE_DOct31_2021,PL_PreH_May2020,AC_Seas_V2,AC_Seas_V3,IB_Seas_V3,RE_Holiday_PreInd,RE_Holiday_Dip1,RE_Holiday_PreLady,RE_Holiday_Dip2,RE_Holiday_PreSouls,RE_Holiday_Dip3,RE_PreHBlackFriday,RE_Dummy,RE_19thJuly,RE_2ndAug,RE_9thAug,RE_30thAug,RE_Holiday_Dip2_V2,RE_13_20thSept,RE_27thSept,RE_1stNov,FB_TON_Imp_2020_GM1,FB_TON_Imp_2021_GM1,FB_Stone_Leads_Imp_2020_GM1,FB_Stone_Leads_Imp_2021_GM1,FB_Stone_SA_Imp_2020_GM1,FB_Stone_SA_Imp_2021_GM1,Google_TON_Imp_2020_GM1,Google_TON_Imp_2021_GM1,Google_STONE_Imp_2020_GM1,Google_STONE_Imp_2021_GM1,AC_Affliate_Spends_GM,AC_Bing_Imp_GM,AC_Criteo_Imp_GM,AC_TikTok_Imp_GM,IB_Affiliate_Imp_GM,IB_TikTok_Imp_GM,IB_Bing_Imp_GM,IB_OpenTv_Grps_GM,IB_PayTv_spends_GM,Polo_OpenTv_Grps_GM,Polo_PayTv_spends_GM,RE_Affliate_Paid_Orders_GM,RE_Bing_Imp_GM,RE_Criteo_Imp_GM,RE_TikTok_Imp_GM,KPI_1_BL,FB_Stone_SA_Imp_2020_GM2,Polo_PayTv_spends_M_GM,IB_PayTv_spends_M_GM,AC_Affliate_Spends_M_GM,AC_BT_BL,IB_BT_BL,PL_BT_BL,RE_BT_BL,FB_TON_Imp_2020_GM1_SC,FB_TON_Imp_2021_GM1_SC,Google_TON_Imp_2020_GM1_SC,Google_TON_Imp_2021_GM1_SC,AC_Bing_Imp_GM_SC,AC_Criteo_Imp_GM_SC,AC_TikTok_Imp_GM_SC,AC_Affliate_Spends_M_GM_SC,FB_Stone_Leads_Imp_2020_GM1_SC,FB_Stone_Leads_Imp_2021_GM1_SC,Google_STONE_Imp_2020_GM1_SC,Google_STONE_Imp_2021_GM1_SC,FB_Stone_SA_Imp_2020_GM2_SC,FB_Stone_SA_Imp_2021_GM1_SC,IB_Affiliate_Imp_GM_SC,IB_TikTok_Imp_GM_SC,IB_Bing_Imp_GM_SC,IB_OpenTv_Grps_GM_SC,IB_PayTv_spends_M_GM_SC,Polo_OpenTv_Grps_GM_SC,Polo_PayTv_spends_M_GM_SC,RE_Bing_Imp_GM_SC,RE_Criteo_Imp_GM_SC,IB_Affiliate_Imp_GM_SC_V3,IB_TikTok_Imp_GM_SC_V3,IB_Bing_Imp_GM_SC_V3,IB_OpenTv_Grps_GM_SC_V3,Polo_OpenTv_Grps_GM_SC_V3,Polo_PayTv_spends_M_GM_SC_V3,IB_PayTv_spends_M_GM_SC_V3,RE_Affliate_Paid_Orders_GM_SC,RE_TikTok_Imp_GM_SC,Polo_PayTv_spends_M_GM_SC_Use,IB_PayTv_spends_M_GM_SC_Use,RE_Affliate_Paid_Orders_GM_SC_use,RE_Bing_Imp_GM_SC_use,RE_Criteo_Imp_GM_SC_use,RE_TikTok_Imp_GM_SC_use,RE_Affliate_Paid_Orders_GM_SC_latest
12/30/2019,Auto_Cred,50,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.02303929,8.933868,0,3.173827,1,0,0,0,0,0,0,0,0,0,0,0,0,21.02303929,0,8.933868,0,0,0,3.173827,0,1808.026861,0,0,0,91.6,1.15,4.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1808.026861,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138533.767,151913.5714,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473808295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.446207403,0,3.599990656,0,0,0,1.278925046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.046944301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038184286,0,0.000748336,0,2.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2020,Auto_Cred,240,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.17587571,4.87766,0,2.35143,1,0,0,0,0,0,0,0,0,0,0,0,0,22.17587571,0,4.87766,0,0,0,2.35143,0,1808.026861,0,219.834,563.28157,90.4,0.21,4.5,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,221.61748,0,-481.11,0,-612.95,0,0.478337496,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,563.28157,0,0,0,0,1,5.392872716,1,0,0,0,0,0,1808.026861,0,0,0,0,1,0,0,0,0,366.66848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473808295,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,240,0,240,0,0,0,366.66848,0,0,0,0,0,0,0,0.366667457,0,0,0,0,0,0,0,0.4721756,0.473808295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82454023,0,7.299378785,0,0,0,2.842433978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0.303847919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112939174,0,0.00358086,0,0.001006622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2020,Auto_Cred,244,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49931329,4.75176,0,2.63249,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49931329,0,4.75176,0,0,0,2.63249,0,1808.026861,0,303.918,396.73744,90.4,0.21,4.5,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,238.54432,0,-375.78,0,-501.63,0,0.476689193,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,396.73744,0,0,0,0,1,5.716757928,1,0,0,0,0,0,1808.026861,0,0,0,0,1,0,0,0,0,268.50456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4721756,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,244,0,244,0,0,0,268.50456,0,0,0,0,0,0,0,0.268500138,0,0,0,0,0,0,0,0.508602855,0.4721756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1918332,0,4.826927347,0,0,0,2.464685913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0.872484996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179294096,0,0.002713055,0,0.007844572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2020,Auto_Cred,219,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.65379043,2.938149,0,2.43157,0,0,0,0,0,0,0,0,0,0,0,0,0,20.65379043,0,2.938149,0,0,0,2.43157,0,1808.026861,0,388.002,266.48171,90.4,0.21,4.5,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,230.51852,0,-270.45,0,-390.31,0,0.585367297,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,266.48171,0,0,0,0,1,5.961010494,1,0,0,0,0,0,1808.026861,0,0,0,0,1,0,0,0,0,195.64624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57982467,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,219,0,219,0,0,0,195.64624,0,0,0,0,0,0,0,0.195637072,0,0,0,0,0,0,0,0.547315885,0.508602855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01288679,0,4.020947473,0,0,0,2.551527295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1.764718573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176990506,0,0.002902487,0,0.029398219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,Auto_Cred,239,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71081086,4.395067,0,3.977951,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71081086,0,4.395067,0,0,0,3.977951,0,1808.026861,0,472.086,169.50208,90.4,0.21,4.5,11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,210.15928,0,-165.12,0,-278.99,0,0.595586775,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,169.50208,0,0,0,0,1,6.157161172,1,0,0,0,0,0,1808.026861,0,0,0,0,1,0,0,0,0,146.08232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589947384,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,239,0,239,0,0,0,146.08232,0,0,0,0,0,0,0,0.146065587,0,0,0,0,0,0,0,0.596986116,0.547315885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.84037581,0,3.525228548,0,0,0,3.05469955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,2.91891266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187679768,0,0.004117886,0,0.071913603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2020,Auto_Cred,152,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.318586,0.554426,0.021065,3.069217,0,0,0,0,0,0,0,0,0,0,0,0,0,31.318586,0,0.554426,0,0.021065,0,3.069217,0,1808.026861,0,556.17,102.93625,87.8,0.25,4.5,11.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,187.405,0,-59.79,0,-167.67,0,0.627124303,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,102.93625,0,0,0,0,1,6.321074003,1,0,0,0,0,0,1808.026861,0,0,0,0,0,1,0,0,-48,117.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621186295,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,152,0,152,0,0,0,117.9,0,0,0,0,0,0,0,0.117871063,0,0,0,0,0,0,0,0.626229511,0.596986116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.94402887,0,2.847442644,0,0.009200177,0,3.611767628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,4.245754411,0,0,0,0,0,0,0,0,0,8.12E-08,0,0,0,0,0,0.241682899,0,0.00569215,0,0.134075576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,Auto_Cred,135,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.95868614,0,0.034213,3.883835,0,-1.439181018,1.315768234,-7.488358178,-3.225083397,2.878303268,0.698460026,0,0,0,0,0,0,33.95868614,0,0,0,0.034213,0,3.883835,0,1808.026861,0,640.254,64.06832,87.8,0.25,4.5,11.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169.84688,0,45.54,0,-56.35,0,0.673936105,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,64.06832,0,0,0,0,1,6.461864973,1,0,0,0,0,0,1808.026861,0,0,0,0,0,1,0,0,-47,109.28248,0,0,0,0,0,0,0,0,0,-3.225083397,0,0,0,0.667554853,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,135,0,135,0,0,0,109.28248,0,0,0,0,0,0,0,0.109234685,0,0,0,0,0,0,0,0.634828375,0.626229511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.33044062,0,0.331014548,0,0.021758249,0,3.397475397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,5.598173684,0,0,0,0,0,0,0,0,0,4.54E-07,0,0,0,0,0,0.299996137,0,0.005058639,0,0.205401128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2020,Auto_Cred,109,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47709529,9.116051,0.075612,3.569658,0,-0.844818515,3.526869995,-0.972660808,3.19827785,10.71902261,-0.667797587,0,0,0,0,0,0,21.47709529,0,9.116051,0,0.075612,0,3.569658,0,1808.026861,0,724.338,50.32519,87.8,0.25,4.5,11.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,163.04812,0,150.87,0,54.97,0,0.62162996,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,50.32519,0,0,0,0,1,6.585258134,1,0,0,0,0,0,1808.026861,0,0,0,0,0,1,0,0,-46,118.50656,0,0,0,0,0,0,0,0,0,3.19827785,0,0,0,0.615743976,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,109,0,109,0,0,0,118.50656,0,0,0,0,0,0,0,0.118431205,0,0,0,0,0,0,0,0.692807213,0.634828375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.23308869,0,3.673403101,0,0.049142585,0,3.757234264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3.929843169,0,0,0,0,0,0,0,0,0,2.32E-06,0,0,0,0,0,0.272134337,0,0.006141788,0,0.118352126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/2020,Auto_Cred,95,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760107857,27.03326171,3.494822,0.08362,3.313652,1,-12.66163718,-4.580246865,-1.859860541,-10.486335,-10.3381082,4.607502375,0,0,0,0,0.760107857,0,27.03326171,0,3.494822,0,0.08362,0,3.313652,0,1808.026861,0,808.422,59.27296,87.8,0.25,4.5,11.6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,170.84872,0,256.2,0,166.29,0,0.802723504,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,59.27296,0,0,0,0,1,6.695084199,1,0,0,0,0,0,1808.026861,0,0,0,0,0,1,0,0,-45,143.94024,0,0,0,0,0,0,0,0,0,-10.486335,0,0,0,0.795122811,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,95,0,95,0,0,0,143.94024,0,0,0,0,0,0,0,0.143826694,0,0,0,0,0,0,0,0.730939729,0.692807213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306292995,0,27.07072439,0,6.850921061,0,0.069186397,0,3.466497845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3.407318559,0,0,0,0,0,0,0,5.44E-05,0,4.59E-06,0,0,0,0,0,0.256664785,0,0.005258912,0,0.093509756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,Auto_Cred,325,Brazil,0,0,0,0,0,1808.026861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.317461,34.96078857,2.25119,3.548661,4.99177,0,-1.629754386,4.280056374,-12.99472601,-1.852477442,14.40133328,-0.356836987,0,0,0,0,10.317461,0,34.96078857,0,2.25119,0,3.548661,0,4.99177,0,1808.026861,0,892.506,88.61333,80.2,0.07,4.25,12.2,0,0,0,0,0,0,0,1,18,0,0,0,0,0,195.65588,0,361.53,0,277.61,0,0.789427194,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,88.61333,0,0,0,0,1,6.794033236,1,0,0,0,0,0,1808.026861,0,0,0,0,0,0,1,0,-44,184.04032,0,0,0,0,0,0,0,0,0,-1.852477442,0,0,0,0.781952399,0,0,0,0,0,0,0,0,0,0,0,0,0,193947.2738,212679,0,0,0,0,0,0,325,0,325,0,0,0,184.04032,0,0,0,0,0,0,0,0.1838763,0,0,0,0,0,0,0,0.794687426,0.730939729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.611338031,0,28.72190428,0,2.99368816,0,1.595063479,0,3.98986628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,2.92856541,0,0,0,0,0,0,0,0.011195126,0,0.002331935,0,0,0,0,0,0.278637307,0,0.006893366,0,0.072322834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
